
=========== accounts/account3_threads.yaml ===========
  [エラー] post_id=18019030538876936: 400 Client Error: Bad Request for url: https://zernio.com/api/v1/inbox/comments/18019030538876936?accountId=6a843e5477555aae01456e57
  [エラー] post_id=17880513960685610: 400 Client Error: Bad Request for url: https://zernio.com/api/v1/inbox/comments/17880513960685610?accountId=6a843e5477555aae01456e57
  post_id=18112955440997179 | コメント数=5 | 未達
  post_id=18107325284177843 | コメント数=0 | 未達
  post_id=18075314156701839 | コメント数=14 | 未達
  post_id=18109769810277121 | コメント数=17 | 未達
  post_id=17881392243619918 | コメント数=5 | 未達
  post_id=18377343832237418 | コメント数=200 | ★対象
    → 既に自分のコメントが存在するためスキップ見込み
  post_id=18120174292683543 | コメント数=2 | 未達
  post_id=18022087802905326 | コメント数=8 | 未達

  → accounts/account4_threads_engagement.yaml: しきい値超え・未対応の投稿は 0 件
